Strain ,Replicate,Supp,Time,Plate Counts,Dilution Factor,Cells,Growth
S23,1,0,0,137,20000,2740000,0
S23,2,0,0,189,20000,3780000,0
S23,3,0,0,150,20000,3000000,0
S23,1,0.1,0,169,20000,3380000,0
S23,2,0.1,0,162,20000,3240000,0
S23,3,0.1,0,157,20000,3140000,0
S23,1,1,0,157,20000,3140000,0
S23,2,1,0,177,20000,3540000,0
S23,3,1,0,139,20000,2780000,0
S23,1,10,0,167,20000,3340000,0
S23,2,10,0,158,20000,3160000,0
S23,3,10,0,125,20000,2500000,0
S23,1,100,0,183,20000,3660000,0
S23,2,100,0,160,20000,3200000,0
S23,3,100,0,145,20000,2900000,0
S23,1,0,24,32,100000,3200000,0.167883212
S23,2,0,24,20,100000,2000000,-0.470899471
S23,3,0,24,34,100000,3400000,0.133333333
S23,1,0.1,24,35,100000,3500000,0.035502959
S23,2,0.1,24,39,100000,3900000,0.203703704
S23,3,0.1,24,24,100000,2400000,-0.23566879
S23,1,1,24,40,100000,4000000,0.27388535
S23,2,1,24,44,100000,4400000,0.242937853
S23,3,1,24,34,100000,3400000,0.223021583
S23,1,10,24,48,100000,4800000,0.437125749
S23,2,10,24,102,100000,10200000,2.227848101
S23,3,10,24,79,100000,7900000,2.16
S23,1,100,24,127,1000000,127000000,33.69945355
S23,2,100,24,98,1000000,98000000,29.625
S23,3,100,24,75,1000000,75000000,24.86206897
S24,1,0,0,129,20000,2580000,0
S24,2,0,0,146,20000,2920000,0
S24,3,0,0,93,20000,1860000,0
S24,1,0.1,0,132,20000,2640000,0
S24,2,0.1,0,139,20000,2780000,0
S24,3,0.1,0,126,20000,2520000,0
S24,1,1,0,143,20000,2860000,0
S24,2,1,0,141,20000,2820000,0
S24,3,1,0,134,20000,2680000,0
S24,1,10,0,128,20000,2560000,0
S24,2,10,0,173,20000,3460000,0
S24,3,10,0,150,20000,3000000,0
S24,1,100,0,151,20000,3020000,0
S24,2,100,0,165,20000,3300000,0
S24,3,100,0,145,20000,2900000,0
S24,1,0,24,31,100000,3100000,0.201550388
S24,2,0,24,185,20000,3700000,0.267123288
S24,3,0,24,146,20000,2920000,0.569892473
S24,1,0.1,24,37,100000,3700000,0.401515152
S24,2,0.1,24,45,100000,4500000,0.618705036
S24,3,0.1,24,29,100000,2900000,0.150793651
S24,1,1,24,42,100000,4200000,0.468531469
S24,2,1,24,40,100000,4000000,0.418439716
S24,3,1,24,185,20000,3700000,0.380597015
S24,1,10,24,62,100000,6200000,1.421875
S24,2,10,24,6,1000000,6000000,0.734104046
S24,3,10,24,69,100000,6900000,1.3
S24,1,100,24,32,1000000,32000000,9.59602649
S24,2,100,24,50,1000000,50000000,14.15151515
S24,3,100,24,34,1000000,34000000,10.72413793
